Roll No,SGPA,Credits
25CE099,9.18,22.00
25CE065,9.09,22.00
25CE093,8.91,22.00
25CE127,8.77,22.00
25CE091,8.77,22.00
25CE101,8.73,22.00
25CE008,8.68,22.00
25CE051,8.59,22.00
25CE129,8.55,22.00
25CE082,8.55,22.00
25CE097,8.50,22.00
25CE074,8.50,22.00
25CE029,8.45,22.00
25CE113,8.45,22.00
25CE084,8.45,22.00
25CE018,8.36,22.00
25CE100,8.32,22.00
25CE131,8.27,22.00
25CE139,8.27,22.00
25CE140,8.23,22.00
25CE009,8.23,22.00
25CE079,8.23,22.00
25CE058,8.23,22.00
25CE002,8.18,22.00
25CE011,8.18,22.00
25CE054,8.18,22.00
25CE122,8.14,22.00
25CE123,8.14,22.00
25CE128,8.14,22.00
25CE081,8.14,22.00
25CE055,8.14,22.00
25CE060,8.14,22.00
25CE142,8.09,22.00
25CE143,8.09,22.00
25CE144,8.09,22.00
25CE145,8.09,22.00
25CE146,8.09,22.00
25CE147,8.09,22.00
25CE148,8.09,22.00
25CE149,8.09,22.00
25CE150,8.09,22.00
25CE063,8.09,22.00
25CE069,8.09,22.00
25CE130,8.05,22.00
25CE023,8.05,22.00
25CE107,8.05,22.00
25CE072,8.05,22.00
25CE059,8.05,22.00
25CE135,8.00,22.00
25CE105,8.00,22.00
25CE035,8.00,22.00
25CE104,7.95,22.00
25CE106,7.95,22.00
25CE061,7.95,22.00
25CE064,7.95,22.00
25CE045,7.95,22.00
25CE042,7.91,22.00
25CE136,7.86,22.00
25CE141,7.86,22.00
25CE070,7.86,22.00
25CE075,7.86,22.00
25CE043,7.86,22.00
25CE053,7.86,22.00
25CE057,7.86,22.00
25CE021,7.82,22.00
25CE016,7.77,22.00
25CE022,7.77,22.00
25CE102,7.77,22.00
25CE047,7.77,22.00
25CE015,7.73,22.00
25CE017,7.73,22.00
25CE027,7.73,22.00
25CE116,7.73,22.00
25CE134,7.68,22.00
25CE080,7.68,22.00
25CE121,7.64,22.00
25CE006,7.64,22.00
25CE010,7.64,22.00
25CE025,7.64,22.00
25CE115,7.64,22.00
25CE117,7.64,22.00
25CE044,7.64,22.00
25CE048,7.64,22.00
25CE094,7.59,22.00
25CE077,7.59,22.00
25CE085,7.59,22.00
25CE032,7.59,22.00
25CE137,7.55,22.00
25CE012,7.55,22.00
25CE019,7.55,22.00
25CE095,7.55,22.00
25CE103,7.55,22.00
25CE109,7.55,22.00
25CE089,7.55,22.00
25CE005,7.50,22.00
25CE096,7.50,22.00
25CE039,7.50,22.00
25CE040,7.50,22.00
25CE092,7.45,22.00
25CE108,7.45,22.00
25CE071,7.45,22.00
25CE028,7.41,22.00
25CE087,7.36,22.00
25CE090,7.36,22.00
25CE007,7.32,22.00
25CE062,7.32,22.00
25CE067,7.32,22.00
25CE083,7.32,22.00
25CE033,7.32,22.00
25CE050,7.32,22.00
25CE066,7.27,22.00
25CE076,7.27,22.00
25CE132,7.23,22.00
25CE013,7.23,22.00
25CE068,7.23,22.00
25CE086,7.23,22.00
25CE031,7.23,22.00
25CE138,7.18,22.00
25CE024,7.18,22.00
25CE052,7.18,22.00
25CE030,7.09,22.00
25CE038,7.09,22.00
25CE125,7.05,22.00
25CE049,7.05,22.00
25CE088,6.95,22.00
25CE037,6.95,22.00
25CE056,6.95,22.00
25CE126,6.86,22.00
25CE118,6.82,22.00
25CE110,6.77,22.00
25CE001,6.73,22.00
25CE036,6.73,22.00
25CE034,6.68,22.00
25CE014,6.55,22.00
25CE119,6.55,22.00
25CE026,6.50,22.00
25CE073,6.45,22.00
25CE124,6.41,22.00
25CE111,6.41,22.00
25CE114,6.00,22.00
25CE041,5.64,22.00
25CE078,5.59,22.00
25CE046,5.50,22.00
25CE020,5.45,22.00
25CE003,5.05,22.00
25CE004,5.05,22.00
25CE120,4.77,22.00
25CE098,4.64,22.00
25CE133,4.55,22.00
25CE112,3.18,22.00
