Roll No,SGPA,Credits
25CS017,9.11,19.00
25CS029,9.00,19.00
25CS041,8.79,19.00
25CS103,8.79,19.00
25CS026,8.68,19.00
25CS083,8.68,19.00
25CS012,8.63,19.00
25CS027,8.63,19.00
25CS095,8.63,19.00
25CS025,8.58,19.00
25CS030,8.58,19.00
25CS036,8.58,19.00
25CS020,8.53,19.00
25CS047,8.53,19.00
25CS075,8.53,19.00
25CS004,8.42,19.00
25CS024,8.42,19.00
25CS032,8.42,19.00
25CS064,8.42,19.00
25CS066,8.42,19.00
25CS067,8.42,19.00
25CS087,8.42,19.00
25CS109,8.42,19.00
25CS008,8.37,19.00
25CS113,8.37,19.00
25CS011,8.32,19.00
25CS021,8.32,19.00
25CS059,8.32,19.00
25CS107,8.26,19.00
25CS044,8.21,19.00
25CS048,8.21,19.00
25CS049,8.21,19.00
25CS063,8.21,19.00
25CS091,8.21,19.00
25CS093,8.21,19.00
25CS108,8.21,19.00
25CS112,8.21,19.00
25CS050,8.16,19.00
25CS086,8.16,19.00
25CS002,8.11,19.00
25CS060,8.11,19.00
25CS092,8.11,19.00
25CS099,8.11,19.00
25CS101,8.11,19.00
25CS045,8.00,19.00
25CS052,8.00,19.00
25CS057,8.00,19.00
25CS065,8.00,19.00
25CS071,8.00,19.00
25CS100,8.00,19.00
25CS106,8.00,19.00
25CS111,8.00,19.00
25CS034,7.95,19.00
25CS053,7.95,19.00
25CS028,7.89,19.00
25CS037,7.89,19.00
25CS104,7.89,19.00
25CS001,7.84,19.00
25CS033,7.84,19.00
25CS055,7.84,19.00
25CS061,7.84,19.00
25CS080,7.79,19.00
25CS035,7.74,19.00
25CS058,7.74,19.00
25CS062,7.74,19.00
25CS068,7.74,19.00
25CS073,7.74,19.00
25CS096,7.74,19.00
25CS003,7.68,19.00
25CS016,7.68,19.00
25CS076,7.68,19.00
25CS031,7.63,19.00
25CS046,7.63,19.00
25CS005,7.58,19.00
25CS097,7.58,19.00
25CS010,7.53,19.00
25CS079,7.53,19.00
25CS088,7.53,19.00
25CS018,7.47,19.00
25CS077,7.42,19.00
25CS014,7.37,19.00
25CS019,7.37,19.00
25CS056,7.32,19.00
25CS069,7.32,19.00
25CS070,7.32,19.00
25CS089,7.32,19.00
25CS043,7.26,19.00
25CS006,7.21,19.00
25CS082,7.21,19.00
25CS090,7.05,19.00
25CS072,7.00,19.00
25CS085,7.00,19.00
25CS013,6.89,19.00
25CS015,6.89,19.00
25CS110,6.79,19.00
25CS038,6.74,19.00
25CS039,6.74,19.00
25CS051,6.74,19.00
25CS074,6.74,19.00
25CS054,6.42,19.00
25CS094,6.42,19.00
25CS084,6.37,19.00
25CS040,6.32,19.00
25CS078,6.32,19.00
25CS022,6.05,19.00
25CS009,5.21,19.00
25CS007,4.37,19.00
25CS102,4.11,19.00
25CS023,2.32,19.00
25CS042,0.00,19.00
25CS081,0.00,19.00

