Roll No,SGPA,Credits
25IT043,8.41,22.00
25IT072,8.41,22.00
25IT001,8.32,22.00
25IT044,8.32,22.00
25IT092,8.27,22.00
25IT016,8.27,22.00
25IT017,8.23,22.00
25IT018,8.23,22.00
25IT050,8.23,22.00
25IT093,8.18,22.00
25IT090,8.18,22.00
25IT006,8.14,22.00
25IT048,8.14,22.00
25IT094,8.05,22.00
25IT013,8.05,22.00
25IT026,8.05,22.00
25IT053,8.05,22.00
25IT100,8.00,22.00
25IT002,8.00,22.00
25IT036,8.00,22.00
25IT098,7.95,22.00
25IT033,7.86,22.00
25IT011,7.82,22.00
25IT028,7.82,22.00
25IT095,7.77,22.00
25IT046,7.77,22.00
25IT014,7.73,22.00
25IT061,7.73,22.00
25IT065,7.73,22.00
25IT097,7.68,22.00
25IT062,7.68,22.00
25IT027,7.59,22.00
25IT068,7.59,22.00
25IT042,7.50,22.00
25IT009,7.45,22.00
25IT031,7.45,22.00
25IT008,7.41,22.00
25IT055,7.41,22.00
25IT070,7.36,22.00
25IT077,7.36,22.00
25IT104,7.27,22.00
25IT015,7.18,22.00
25IT045,7.18,22.00
25IT102,7.14,22.00
25IT067,7.14,22.00
25IT101,7.09,22.00
25IT029,7.09,22.00
25IT030,7.09,22.00
25IT034,7.09,22.00
25IT052,7.09,22.00
25IT069,7.09,22.00
25IT079,7.09,22.00
25IT080,7.09,22.00
25IT085,7.09,22.00
25IT087,7.09,22.00
25IT019,7.05,22.00
25IT096,7.00,22.00
25IT039,7.00,22.00
25IT005,6.95,22.00
25IT023,6.95,22.00
25IT054,6.95,22.00
25IT074,6.91,22.00
25IT078,6.86,22.00
25IT099,6.82,22.00
25IT041,6.82,22.00
25IT049,6.82,22.00
25IT089,6.82,22.00
25IT040,6.77,22.00
25IT076,6.77,22.00
25IT084,6.77,22.00
25IT004,6.73,22.00
25IT051,6.73,22.00
25IT081,6.73,22.00
25IT103,6.64,22.00
25IT075,6.64,22.00
25IT003,6.59,22.00
25IT012,6.59,22.00
25IT038,6.55,22.00
25IT083,6.55,22.00
25IT066,6.50,22.00
25IT022,6.45,22.00
25IT063,6.45,22.00
25IT091,6.41,22.00
25IT035,6.41,22.00
25IT086,6.41,22.00
25IT020,6.36,22.00
25IT021,6.36,22.00
25IT071,6.36,22.00
25IT064,6.23,22.00
25IT059,6.09,22.00
25IT073,6.05,22.00
25IT010,6.00,22.00
25IT032,6.00,22.00
25IT056,5.95,22.00
25IT082,5.91,22.00
25IT025,5.86,22.00
25IT024,5.73,22.00
25IT037,5.73,22.00
25IT060,5.59,22.00
25IT088,5.50,22.00
25IT007,4.00,22.00
25IT105,3.68,22.00
25IT106,3.68,22.00
25IT107,3.68,22.00
25IT108,3.68,22.00
25IT109,3.68,22.00
25IT110,3.68,22.00
25IT111,3.68,22.00
25IT112,3.68,22.00
25IT113,3.68,22.00
25IT114,3.68,22.00
25IT115,3.68,22.00
25IT116,3.68,22.00
25IT117,3.68,22.00
25IT118,3.68,22.00
25IT119,3.68,22.00
25IT120,3.68,22.00
25IT057,3.68,22.00
25IT058,2.18,22.00
25IT047,0.00,22.00
