Roll No,SGPA,Credits
25ME072,8.60,20.00
25ME090,8.60,20.00
25ME115,8.50,20.00
25ME034,8.40,20.00
25ME011,8.30,20.00
25ME085,8.25,20.00
25ME109,8.10,20.00
25ME081,8.10,20.00
25ME101,8.05,20.00
25ME092,7.90,20.00
25ME096,7.90,20.00
25ME117,7.90,20.00
25ME021,7.90,20.00
25ME056,7.90,20.00
25ME065,7.90,20.00
25ME102,7.85,20.00
25ME075,7.85,20.00
25ME095,7.75,20.00
25ME028,7.75,20.00
25ME121,7.70,20.00
25ME122,7.70,20.00
25ME118,7.70,20.00
25ME060,7.70,20.00
25ME069,7.70,20.00
25ME070,7.70,20.00
25ME061,7.60,20.00
25ME093,7.55,20.00
25ME107,7.50,20.00
25ME001,7.50,20.00
25ME066,7.45,20.00
25ME128,7.40,20.00
25ME063,7.30,20.00
25ME079,7.25,20.00
25ME116,7.15,20.00
25ME113,7.10,20.00
25ME044,7.10,20.00
25ME097,7.05,20.00
25ME114,7.05,20.00
25ME031,7.05,20.00
25ME050,7.05,20.00
25ME071,7.05,20.00
25ME080,7.05,20.00
25ME087,7.05,20.00
25ME040,7.00,20.00
25ME041,7.00,20.00
25ME051,7.00,20.00
25ME123,6.95,20.00
25ME098,6.95,20.00
25ME045,6.95,20.00
25ME047,6.95,20.00
25ME103,6.90,20.00
25ME006,6.90,20.00
25ME027,6.90,20.00
25ME019,6.85,20.00
25ME049,6.85,20.00
25ME010,6.80,20.00
25ME036,6.80,20.00
25ME009,6.75,20.00
25ME038,6.75,20.00
25ME088,6.75,20.00
25ME016,6.70,20.00
25ME017,6.60,20.00
25ME076,6.60,20.00
25ME067,6.55,20.00
25ME074,6.55,20.00
25ME077,6.45,20.00
25ME082,6.45,20.00
25ME083,6.45,20.00
25ME131,6.40,20.00
25ME132,6.40,20.00
25ME133,6.40,20.00
25ME134,6.40,20.00
25ME135,6.40,20.00
25ME136,6.40,20.00
25ME137,6.40,20.00
25ME138,6.40,20.00
25ME139,6.40,20.00
25ME140,6.40,20.00
25ME141,6.40,20.00
25ME142,6.40,20.00
25ME143,6.40,20.00
25ME144,6.40,20.00
25ME145,6.40,20.00
25ME146,6.40,20.00
25ME147,6.40,20.00
25ME148,6.40,20.00
25ME149,6.40,20.00
25ME150,6.40,20.00
25ME104,6.40,20.00
25ME105,6.40,20.00
25ME033,6.40,20.00
25ME111,6.25,20.00
25ME127,6.20,20.00
25ME094,6.05,20.00
25ME058,6.05,20.00
25ME086,6.05,20.00
25ME008,6.00,20.00
25ME099,5.90,20.00
25ME112,5.90,20.00
25ME068,5.90,20.00
25ME053,5.85,20.00
25ME007,5.70,20.00
25ME014,5.70,20.00
25ME120,5.60,20.00
25ME073,5.60,20.00
25ME037,5.55,20.00
25ME062,5.55,20.00
25ME043,5.45,20.00
25ME046,5.35,20.00
25ME025,5.30,20.00
25ME100,5.25,20.00
25ME042,5.20,20.00
25ME005,5.10,20.00
25ME015,5.05,20.00
25ME030,4.95,20.00
25ME012,4.90,20.00
25ME126,4.75,20.00
25ME013,4.75,20.00
25ME108,4.50,20.00
25ME039,4.45,20.00
25ME035,4.10,20.00
25ME024,3.90,20.00
25ME004,3.85,20.00
25ME018,3.85,20.00
25ME003,3.80,20.00
25ME084,3.75,20.00
25ME048,3.70,20.00
25ME026,3.60,20.00
25ME064,3.60,20.00
25ME020,3.50,20.00
25ME106,3.40,20.00
25ME110,3.40,20.00
25ME029,3.40,20.00
25ME119,3.25,20.00
25ME022,3.05,20.00
25ME023,3.05,20.00
25ME052,2.90,20.00
25ME055,2.60,20.00
25ME089,2.35,20.00
25ME054,2.25,20.00
25ME078,2.25,20.00
25ME057,2.20,20.00
25ME130,2.15,20.00
25ME032,2.15,20.00
25ME124,1.50,20.00
25ME125,1.50,20.00
25ME129,1.50,20.00
25ME002,0.80,20.00
25ME059,0.80,20.00
