Roll No,SGPA,Credits
25IT092,8.74,19.00
25IT001,8.63,19.00
25IT013,8.53,19.00
25IT072,8.53,19.00
25IT093,8.53,19.00
25IT098,8.32,19.00
25IT018,8.21,19.00
25IT006,8.16,19.00
25IT017,8.16,19.00
25IT044,8.05,19.00
25IT090,8.05,19.00
25IT002,8.00,19.00
25IT050,8.00,19.00
25IT053,8.00,19.00
25IT100,8.00,19.00
25IT016,7.84,19.00
25IT027,7.84,19.00
25IT043,7.74,19.00
25IT062,7.74,19.00
25IT102,7.74,19.00
25IT031,7.68,19.00
25IT080,7.68,19.00
25IT085,7.63,19.00
25IT009,7.58,19.00
25IT033,7.58,19.00
25IT094,7.58,19.00
25IT008,7.53,19.00
25IT026,7.53,19.00
25IT068,7.53,19.00
25IT079,7.53,19.00
25IT065,7.47,19.00
25IT036,7.42,19.00
25IT055,7.42,19.00
25IT077,7.42,19.00
25IT014,7.37,19.00
25IT023,7.37,19.00
25IT076,7.37,19.00
25IT099,7.37,19.00
25IT059,7.32,19.00
25IT067,7.32,19.00
25IT096,7.32,19.00
25IT101,7.32,19.00
25IT011,7.26,19.00
25IT095,7.26,19.00
25IT039,7.21,19.00
25IT042,7.21,19.00
25IT104,7.21,19.00
25IT015,7.16,19.00
25IT052,7.16,19.00
25IT097,7.16,19.00
25IT005,7.11,19.00
25IT019,7.05,19.00
25IT028,7.05,19.00
25IT035,7.05,19.00
25IT029,7.00,19.00
25IT030,6.95,19.00
25IT069,6.95,19.00
25IT103,6.95,19.00
25IT003,6.89,19.00
25IT084,6.89,19.00
25IT078,6.84,19.00
25IT004,6.79,19.00
25IT070,6.79,19.00
25IT074,6.79,19.00
25IT063,6.74,19.00
25IT061,6.68,19.00
25IT089,6.68,19.00
25IT056,6.63,19.00
25IT038,6.58,19.00
25IT091,6.58,19.00
25IT021,6.47,19.00
25IT037,6.47,19.00
25IT083,6.47,19.00
25IT086,6.47,19.00
25IT024,6.37,19.00
25IT034,6.37,19.00
25IT041,6.37,19.00
25IT045,6.37,19.00
25IT081,6.37,19.00
25IT051,6.26,19.00
25IT075,6.26,19.00
25IT020,6.16,19.00
25IT060,5.95,19.00
25IT040,5.89,19.00
25IT087,5.89,19.00
25IT066,5.79,19.00
25IT054,5.68,19.00
25IT032,5.58,19.00
25IT046,5.58,19.00
25IT049,5.58,19.00
25IT010,5.26,19.00
25IT012,5.16,19.00
25IT048,5.16,19.00
25IT088,5.00,19.00
25IT071,4.84,19.00
25IT022,4.74,19.00
25IT064,4.63,19.00
25IT007,4.53,19.00
25IT073,4.11,19.00
25IT082,4.11,19.00
25IT105,4.00,19.00
25IT058,3.68,19.00
25IT047,2.74,19.00
25IT025,2.53,19.00
25IT057,1.89,19.00

