Roll No,SGPA,Credits
25DCS136,9.00,22.00
25DCS055,8.86,22.00
25DCS098,8.86,22.00
25DCS083,8.86,22.00
25DCS039,8.82,22.00
25DCS123,8.73,22.00
25DCS067,8.64,22.00
25DCS073,8.55,22.00
25DCS074,8.55,22.00
25DCS144,8.50,22.00
25DCS137,8.45,22.00
25DCS077,8.45,22.00
25DCS121,8.41,22.00
25DCS102,8.41,22.00
25DCS009,8.41,22.00
25DCS075,8.41,22.00
25DCS138,8.36,22.00
25DCS044,8.36,22.00
25DCS015,8.36,22.00
25DCS096,8.27,22.00
25DCS103,8.27,22.00
25DCS108,8.27,22.00
25DCS119,8.27,22.00
25DCS140,8.23,22.00
25DCS056,8.23,22.00
25DCS013,8.23,22.00
25DCS018,8.23,22.00
25DCS086,8.18,22.00
25DCS038,8.14,22.00
25DCS033,8.09,22.00
25DCS004,8.09,22.00
25DCS043,8.05,22.00
25DCS107,8.05,22.00
25DCS020,8.05,22.00
25DCS066,8.05,22.00
25DCS041,8.00,22.00
25DCS029,8.00,22.00
25DCS081,8.00,22.00
25DCS127,7.95,22.00
25DCS092,7.95,22.00
25DCS060,7.91,22.00
25DCS122,7.86,22.00
25DCS034,7.82,22.00
25DCS003,7.82,22.00
25DCS005,7.82,22.00
25DCS023,7.77,22.00
25DCS036,7.73,22.00
25DCS118,7.73,22.00
25DCS040,7.68,22.00
25DCS046,7.68,22.00
25DCS110,7.68,22.00
25DCS014,7.68,22.00
25DCS019,7.68,22.00
25DCS068,7.68,22.00
25DCS093,7.64,22.00
25DCS111,7.64,22.00
25DCS007,7.64,22.00
25DCS011,7.64,22.00
25DCS016,7.64,22.00
25DCS126,7.59,22.00
25DCS132,7.55,22.00
25DCS049,7.55,22.00
25DCS010,7.55,22.00
25DCS045,7.50,22.00
25DCS047,7.50,22.00
25DCS080,7.50,22.00
25DCS097,7.45,22.00
25DCS115,7.45,22.00
25DCS037,7.41,22.00
25DCS025,7.41,22.00
25DCS078,7.41,22.00
25DCS061,7.36,22.00
25DCS106,7.32,22.00
25DCS008,7.27,22.00
25DCS028,7.27,22.00
25DCS072,7.27,22.00
25DCS143,7.23,22.00
25DCS001,7.23,22.00
25DCS002,7.23,22.00
25DCS035,7.18,22.00
25DCS100,7.18,22.00
25DCS071,7.18,22.00
25DCS116,7.14,22.00
25DCS065,7.14,22.00
25DCS141,7.09,22.00
25DCS042,7.09,22.00
25DCS120,7.09,22.00
25DCS017,7.09,22.00
25DCS124,7.05,22.00
25DCS105,7.05,22.00
25DCS114,7.05,22.00
25DCS021,7.05,22.00
25DCS069,7.05,22.00
25DCS085,7.05,22.00
25DCS088,7.05,22.00
25DCS109,6.95,22.00
25DCS048,6.91,22.00
25DCS062,6.91,22.00
25DCS057,6.86,22.00
25DCS059,6.86,22.00
25DCS099,6.86,22.00
25DCS089,6.86,22.00
25DCS130,6.82,22.00
25DCS031,6.82,22.00
25DCS053,6.82,22.00
25DCS113,6.82,22.00
25DCS095,6.77,22.00
25DCS101,6.77,22.00
25DCS022,6.77,22.00
25DCS079,6.77,22.00
25DCS133,6.73,22.00
25DCS142,6.73,22.00
25DCS094,6.73,22.00
25DCS006,6.73,22.00
25DCS087,6.73,22.00
25DCS112,6.68,22.00
25DCS104,6.64,22.00
25DCS082,6.64,22.00
25DCS027,6.59,22.00
25DCS064,6.59,22.00
25DCS070,6.59,22.00
25DCS090,6.59,22.00
25DCS063,6.36,22.00
25DCS117,6.32,22.00
25DCS052,6.27,22.00
25DCS012,6.27,22.00
25DCS131,6.18,22.00
25DCS024,6.18,22.00
25DCS129,6.14,22.00
25DCS084,6.00,22.00
25DCS050,5.95,22.00
25DCS054,5.95,22.00
25DCS076,5.95,22.00
25DCS051,5.91,22.00
25DCS128,5.82,22.00
25DCS026,5.82,22.00
25DCS145,5.45,22.00
25DCS146,5.45,22.00
25DCS147,5.45,22.00
25DCS148,5.45,22.00
25DCS149,5.45,22.00
25DCS150,5.45,22.00
25DCS135,5.32,22.00
25DCS139,5.27,22.00
25DCS125,5.14,22.00
25DCS030,4.91,22.00
25DCS058,4.68,22.00
25DCS134,4.32,22.00
25DCS032,4.14,22.00
25DCS091,4.14,22.00
